After Burner Complete	en	https://archive.org/download/SEGA32XManuals_201812/After Burner (Japan, USA).pdf
After Burner Complete	ja	https://archive.org/download/After_Burner_Complete_1994_Sega_JP/After_Burner_Complete_1994_Sega_JP.pdf
Amazing Spider-Man, The - Web of Fire	en	https://archive.org/download/SEGA32XManuals_201812/Amazing Spider-Man, The - Web of Fire (USA).pdf
BC Racers	en	https://archive.org/download/SEGA32XManuals_201812/BC Racers (USA).pdf
Blackthorne	en	https://archive.org/download/SEGA32XManuals_201812/Blackthorne (USA).pdf
Brutal - Above the Claw	en	https://archive.org/download/SEGA32XManuals_201812/Brutal Unleashed - Above the Claw (USA).pdf
Cosmic Carnage	en	https://archive.org/download/SEGA32XManuals_201812/Cosmic Carnage (Japan, USA).pdf
Cosmic Carnage	ja	https://archive.org/download/Cyber_Brawl_1994_J_color/Cyber_Brawl_1994_J_color.cbr
Cosmic Carnage	pt	https://archive.org/download/Cosmic_Carnage_1995_Br/Cosmic_Carnage_1995_Br.cbr
Doom	en	https://archive.org/download/SEGA32XManuals_201812/Doom (Japan, USA).pdf
Doom	ja	https://archive.org/download/Doom_1994_J_color/Doom_1994_J_color.cbr
Golf Magazine Presents - 36 Great Holes Starring Fred Couples	en	https://archive.org/download/SEGA32XManuals_201812/Golf Magazine 36 Great Holes Starring Fred Couples (Japan, USA).pdf
Golf Magazine Presents - 36 Great Holes Starring Fred Couples	ja	https://archive.org/download/Golf_Magazine_36_Great_Holes_1994_J_color/Golf_Magazine_36_Great_Holes_1994_J_color.cbr
Golf Magazine Presents - 36 Great Holes Starring Fred Couples	pt	https://archive.org/download/Golf_Magazine_36_Great_Holes_1994_Br/Golf_Magazine_36_Great_Holes_1994_Br.cbr
Knuckles' Chaotix	en	https://archive.org/download/Knuckles_Chaotix_1995_U/Knuckles_Chaotix_1995_U.cbr
Knuckles' Chaotix	en-gb,de,es,fr,it,nl,sv	https://archive.org/download/Knuckles_Chaotix_1995_E_7L/Knuckles_Chaotix_1995_E_7L.cbr
Knuckles' Chaotix	ja	http://info.sonicretro.org/images/4/40/Chaotix_32X_JP_manual.pdf
Knuckles' Chaotix	pt	http://info.sonicretro.org/images/1/15/Chaotix_32X_BR_manual.pdf
Kolibri	en	https://archive.org/download/SEGA32XManuals_201812/Kolibri (USA, Europe).pdf
Kolibri	pt	https://archive.org/download/Kolibri_1995_Br/Kolibri_1995_Br.cbr
Metal Head	en	https://archive.org/download/SEGA32XManuals_201812/Metal Head (Japan, USA).pdf
Metal Head	ja	https://archive.org/download/Metal_Head_1995_J_color/Metal_Head_1995_J_color.cbr
Metal Head	pt	https://archive.org/download/Metal_Head_1995_Br/Metal_Head_1995_Br.cbr
Mortal Kombat II	en	https://archive.org/download/SEGA32XManuals_201812/Mortal Kombat II (Japan, USA).pdf
Mortal Kombat II	ja	https://archive.org/download/Mortal_Kombat_II_1994_J_color/Mortal_Kombat_II_1994_J_color.cbr
Mortal Kombat II	pt	https://segaretro.org/images/0/07/Mortal_Kombat_II_32X_BR_Manual.pdf
Motocross Championship	en	https://archive.org/download/SEGA32XManuals_201812/Motocross Championship (USA).pdf
Motocross Championship	pt	https://archive.org/download/Motocross_Championship_1994_Br/Motocross_Championship_1994_Br.cbr
NBA Jam - Tournament Edition	en	https://archive.org/download/SEGA32XManuals_201812/NBA Jam Tournament Edition (World).pdf
NBA Jam - Tournament Edition	ja	https://segaretro.org/images/7/75/Nbajamte_32x_jp_manual.pdf
NFL Quarterback Club	en	https://archive.org/download/SEGA32XManuals_201812/NFL Quarterback Club (World).pdf
NFL Quarterback Club	ja	https://archive.org/download/NFL_Quarterback_Club_1995_Acclaim_JP/NFL_Quarterback_Club_1995_Acclaim_JP.pdf
Pitfall - The Mayan Adventure	en	https://archive.org/download/SEGA32XManuals_201812/Pitfall - The Mayan Adventure (USA).pdf
Primal Rage	en	https://archive.org/download/SEGA32XManuals_201812/Primal Rage (USA, Europe).pdf
RBI Baseball '95	en	https://archive.org/download/SEGA32XManuals_201812/RBI Baseball '95 (USA).pdf
Sangokushi IV	en	https://archive.org/download/SEGA32XManuals_201812/Sangokushi IV (Japan).pdf
Space Harrier	en	https://archive.org/download/SEGA32XManuals_201812/Space Harrier (Japan, USA).pdf
Space Harrier	ja	https://archive.org/download/Space_Harrier_1994_Sega_JP/Space_Harrier_1994_Sega_JP.pdf
Star Trek - Starfleet Academy - Starship Bridge Simulator	en	https://archive.org/download/SEGA32XManuals_201812/Star Trek Starfleet Academy - Starship Bridge Simulator (USA).pdf
Star Trek - Starfleet Academy - Starship Bridge Simulator	pt	https://archive.org/download/Star_Trek_Starfleet_Academy_1995_Br/Star_Trek_Starfleet_Academy_1995_Br.cbr
Star Wars Arcade	en	https://archive.org/download/SEGA32XManuals_201812/Star Wars Arcade (USA).pdf
Star Wars Arcade	ja	https://archive.org/download/Star_Wars_Arcade_1994_Sega_JP/Star_Wars_Arcade_1994_Sega_JP.pdf
Star Wars Arcade	pt	https://archive.org/download/Star_Wars_Arcade_1994_Br/Star_Wars_Arcade_1994_Br.cbr
Stellar Assault	en	https://archive.org/download/SEGA32XManuals_201812/Shadow Squadron (USA, Europe).pdf
Stellar Assault	ja	https://archive.org/download/Stellar_Assault_1995_Sega_JP/Stellar_Assault_1995_Sega_JP.pdf
T-MEK	en	https://archive.org/download/SEGA32XManuals_201812/T-Mek (USA, Europe).pdf
Tempo	en	https://archive.org/download/SEGA32XManuals_201812/Tempo (Japan, USA).pdf
Tempo	ja	https://archive.org/download/Tempo_1995_Sega_JP/Tempo_1995_Sega_JP.pdf
Toughman Contest	en	https://archive.org/download/SEGA32XManuals_201812/Toughman Contest (USA, Europe).pdf
Virtua Fighter	en	https://archive.org/download/SEGA32XManuals_201812/Virtua Fighter (Japan, USA).pdf
Virtua Fighter	en-gb,de,es,fr,it,nl,sv	https://segaretro.org/images/0/05/VirtuaFighter_32X_EU_Manual.pdf
Virtua Fighter	ja	https://archive.org/download/Virtua_Fighter_1995_Sega_JP/Virtua_Fighter_1995_Sega_JP.pdf
Virtua Fighter	pt	https://archive.org/download/Virtua_Fighter_1995_Br/Virtua_Fighter_1995_Br.cbr
Virtua Racing Deluxe	en	https://archive.org/download/SEGA32XManuals_201812/Virtua Racing Deluxe (USA).pdf
Virtua Racing Deluxe	ja	https://archive.org/download/Virtua_Racing_Deluxe_1994_Sega_JP/Virtua_Racing_Deluxe_1994_Sega_JP.pdf
Virtua Racing Deluxe	pt	https://archive.org/download/Virtua_Racing_Deluxe_1994_Br/Virtua_Racing_Deluxe_1994_Br.cbr
World Series Baseball Starring Deion Sanders	en	https://archive.org/download/SEGA32XManuals_201812/World Series Baseball Starring Deion Sanders (USA).pdf
WWF Raw	en	https://archive.org/download/SEGA32XManuals_201812/WWF Raw (World).pdf
WWF Raw	ja	https://archive.org/download/WWF_RAW_1995_Acclaim_JP/WWF_RAW_1995_Acclaim_JP.pdf
WWF WrestleMania - The Arcade Game	en	https://archive.org/download/SEGA32XManuals_201812/WWF WrestleMania - The Arcade Game (USA).pdf
Zaxxon's Motherbase 2000	en	https://archive.org/download/SEGA32XManuals_201812/Zaxxon's Motherbase 2000 (Japan, USA).pdf
Zaxxon's Motherbase 2000	ja	https://archive.org/download/Parasquad_1995_Sega_JP/Parasquad_1995_Sega_JP.pdf
